2018-09-23 19:56,ABC Sensor Pres M100,1,50.163,51.435,52.103,GOOD
2018-09-23 19:57,ABC Sensor Pres M100,2,50.163,51.435,53.103,GOOD
2018-09-23 19:58,ABC Sensor Pres M100,3,50.142,51.528,51.803,GOOD
2018-09-23 19:59,ABC Sensor Pres M100,4,50.212,51.641,55.017,GOOD
2018-09-23 20:00,ABC Sensor Pres M100,5,100.000,100.000,100.000,HIGH_PRESSURE
2018-09-23 20:01,ABC Sensor Pres M100,6,51.244,51.355,52.103,GOOD
2018-09-23 20:02,ABC Sensor Pres M100,7,51.112,52.345,52.703,GOOD
2018-09-23 20:03,ABC Sensor Pres M100,8,50.513,51.745,53.105,GOOD
2018-09-23 20:04,ABC Sensor Pres M100,9,50.333,51.348,51.943,GOOD
2018-09-23 20:05,ABC Sensor Pres M100,10,50.332,51.445,52.013,GOOD
2018-09-23 20:06,ABC Sensor Pres M100,11,0.000,0.000,0.000,LOW_PRESSURE
